artwork_id,artwork_name,match_method,match_distance,confidence_gap
ART001,Argote_2of6,perceptual-32px,0.0,21012.9
ART002,Argote_4of6,perceptual-32px,0.0,14449.3
ART003,Argote_6of6,perceptual-32px,0.0,29595.8
ART004,Caboco_2of2,perceptual-32px,134.0,27214.1
ART005,Chaile_1aof4,perceptual-32px,0.0,26760.9
ART006,Chaile_2of4,perceptual-32px,0.0,26760.9
ART007,deBaca_1of1,perceptual-32px,0.0,27354.6
ART008,Dominguez_1of12,perceptual-32px,221.3,24371.3
ART009,Dominiguez_6of12,perceptual-32px,729.5,21340.4
ART010,Dominguez_7of12,perceptual-32px,0.0,20392.6
ART011,Dominguez_9of12,perceptual-32px,445.8,18671.8
ART012,Dominguez_10of12,perceptual-32px,0.0,19450.1
ART013,Dominguez_11of12,perceptual-32px,212.0,23518.3
ART014,Esbell_1of3,perceptual-32px,150.3,9055.9
ART015,Esbell_3aof3,perceptual-32px,257.5,12638.9
ART016,Gutierrez_1of8,perceptual-32px,120.4,14305.2
ART017,Gutierrez_2of8,perceptual-32px,123.5,32914.1
ART018,Gutierrez_4of8,perceptual-32px,227.0,20378.0
ART019,Gutierrez_5of8,perceptual-32px,91.9,22363.4
ART020,Hakihiiwe_4of22,perceptual-32px,0.0,14005.8
ART021,Hakihiiwe_6of22,perceptual-32px,657.9,37625.8
ART022,Hakihiiwe_7of22,perceptual-32px,0.0,18536.8
ART023,Hakihiiwe_9of22,perceptual-32px,97.2,9834.0
ART024,Hakihiiwe_12of22,perceptual-32px,684.3,37327.1
ART025,Hakihiiwe_14of22,perceptual-32px,0.0,13912.5
ART026,Hakihiiwe_16of22,perceptual-32px,27.7,10088.8
ART027,Hakihiiwe_17of22,perceptual-32px,0.0,13912.5
ART028,Halfmoon_1of1,perceptual-32px,0.0,51044.1
ART029,Maravilla_1of5,perceptual-32px,0.0,14020.5
ART030,Maravilla_2of5,perceptual-32px,0.0,54249.6
ART031,Maravilla_3of5,perceptual-32px,0.0,54618.4
ART032,Maravilla_5of5,perceptual-32px,150.9,10514.1
ART033,Merida_1of1,perceptual-32px,0.0,27480.9
ART034,Simpson_1of14,perceptual-32px,379.8,31456.6
ART035,Simpson_3of14,perceptual-32px,351.3,17119.6
ART036,Simpson_4of14,perceptual-32px,319.7,22927.2
ART037,Simpson_7of14,perceptual-32px,219.6,19786.8
ART038,Simpson_11of14,perceptual-32px,149.8,17610.7
ART039,Simpson_13of14,perceptual-32px,0.0,15807.4
ART040,Sully_1of2,perceptual-32px,0.0,32776.7
ART041,Sully_2of2,perceptual-32px,768.3,21509.2
ART042,Tavares_2of7,perceptual-32px,0.0,20487.8
ART043,Tavares_3of7,perceptual-32px,0.0,22076.8
ART044,Tavares_4of7,perceptual-32px,0.0,15600.7
ART045,Tavares_6of7,perceptual-32px,0.0,9259.1
ART046,Toledo_1of1,perceptual-32px,222.7,27687.8
ART047,Yahuarcani_1of3,perceptual-32px,588.5,21328.4
ART048,Yahuarcani_3of3,perceptual-32px,140.6,21966.1
