artwork_id,artwork_file,room_file,artwork_img_w,artwork_img_h,floor_img_w,floor_img_h,floor_correct_px_x,floor_correct_px_y,floor_correct_norm_x,floor_correct_norm_y,room_img_w,room_img_h,room_correct_px_x,room_correct_px_y,room_correct_norm_x,room_correct_norm_y,room_box_norm_x0,room_box_norm_y0,room_box_norm_x1,room_box_norm_y1,flagged
ART001,ART001.png,ART001.png,320,213,1559,1009,1185.17,485.97,0.76021,0.481635,1448,1086,762.46,915.15,0.52656,0.842676,0.474892,0.820122,0.578228,0.86523,0
ART002,ART002.png,ART002.png,213,320,1559,1009,1184.49,498.97,0.759776,0.49452,1448,1086,654.56,356.0,0.452041,0.327809,0.404619,0.057448,0.499463,0.59817,0
ART003,ART003.png,ART003.png,213,320,1559,1009,1179.9,452.0,0.756829,0.447965,1448,1086,879.61,364.19,0.607466,0.33535,0.543847,0.208539,0.671084,0.462161,0
ART004,ART004.png,ART004.png,320,213,1559,1009,950.5,525.96,0.609687,0.521264,1448,1086,1232.65,548.76,0.851279,0.505307,0.739981,0.393111,0.962576,0.617504,0
ART005,ART005.png,ART005.png,212,320,1559,1009,637.95,202.46,0.409202,0.200655,1491,1055,1372.14,702.15,0.920282,0.665542,0.872779,0.651817,0.967785,0.679268,0
ART006,ART006.png,ART006.png,215,320,1559,1009,609.56,215.36,0.390991,0.213438,1491,1055,1036.11,671.91,0.694911,0.636879,0.657877,0.621358,0.731945,0.6524,0
ART007,ART007.png,ART007.png,320,106,1559,1009,881.51,187.15,0.56543,0.185476,1448,1086,374.46,550.05,0.258603,0.506492,0.051084,0.394886,0.466121,0.618098,0
ART008,ART008.png,ART008.png,320,240,1559,1009,1085.5,259.69,0.696277,0.257376,1536,1024,410.09,623.88,0.266983,0.609261,0.238404,0.578802,0.295562,0.639719,0
ART009,ART009.png,ART009.png,320,240,1559,1009,1083.91,212.18,0.695262,0.210285,1536,1024,546.41,538.96,0.355733,0.526332,0.328397,0.475987,0.383069,0.576678,0
ART010,ART010.png,ART010.png,239,320,1559,1009,1034.5,112.19,0.663565,0.111187,1536,1024,1013.69,542.9,0.659953,0.530177,0.643039,0.489952,0.676867,0.570402,0
ART011,ART011.png,ART011.png,320,240,1559,1009,1127.49,115.19,0.723216,0.114158,1536,1024,1310.42,500.55,0.853136,0.488819,0.829906,0.447352,0.876365,0.530285,0
ART012,ART012.png,ART012.png,320,240,1559,1009,1083.91,283.14,0.695262,0.280611,1536,1024,254.7,506.49,0.165821,0.494616,0.145074,0.454824,0.186568,0.534408,0
ART013,ART013.png,ART013.png,320,240,1559,1009,980.51,135.8,0.628937,0.13459,1536,1024,737.23,518.31,0.479969,0.506159,0.45674,0.479351,0.503198,0.532966,0
ART014,ART014.png,ART014.png,213,320,1559,1009,515.58,430.97,0.330713,0.427124,1448,1086,918.02,565.49,0.633991,0.520713,0.615383,0.461923,0.6526,0.579503,0
ART015,ART015.png,ART015.png,213,320,1559,1009,640.19,430.97,0.410643,0.427124,1448,1086,933.63,291.96,0.644769,0.268836,0.607303,0.138367,0.682236,0.399305,0
ART016,ART016.png,ART016.png,213,320,1559,1009,1078.0,558.1,0.691468,0.553125,1448,1086,1264.4,372.43,0.873205,0.342934,0.824433,0.162532,0.921977,0.523335,0
ART017,ART017.png,ART017.png,214,320,1559,1009,1145.07,529.75,0.73449,0.525028,1448,1086,562.57,682.01,0.388514,0.628002,0.347445,0.618339,0.429582,0.637665,0
